state_name,year,quarter_file,total_insurance_transactions,total_insurance_amount
himachal-pradesh,2024,3.json,5272,10538999
jammu-&-kashmir,2023,2.json,5262,10974839
goa,2024,1.json,5225,7528093
himachal-pradesh,2023,4.json,5211,11898824
himachal-pradesh,2024,2.json,5194,10008705
jharkhand,2021,2.json,5180,5084230
chhattisgarh,2021,2.json,5055,3813417
jammu-&-kashmir,2022,4.json,5031,10111183
goa,2024,2.json,5021,7178558
punjab,2021,3.json,4887,5271559
goa,2023,4.json,4883,7411001
jharkhand,2021,1.json,4879,3274851
jammu-&-kashmir,2022,3.json,4794,8281826
chhattisgarh,2021,1.json,4712,2620468
chhattisgarh,2020,3.json,4702,1393656
chhattisgarh,2021,3.json,4676,3568837
himachal-pradesh,2022,4.json,4565,9060436
jammu-&-kashmir,2023,1.json,4555,10275877
assam,2021,3.json,4495,6010865
goa,2022,4.json,4388,6190669
himachal-pradesh,2023,2.json,4197,8499425
goa,2023,2.json,4166,5930801
uttarakhand,2021,3.json,4111,4646571
goa,2023,1.json,4097,5859549
jammu-&-kashmir,2022,2.json,4071,7729792
punjab,2021,2.json,4047,3768919
himachal-pradesh,2023,3.json,3935,7869767
goa,2023,3.json,3927,5646054
himachal-pradesh,2023,1.json,3909,7826133
punjab,2021,1.json,3783,2558380
chhattisgarh,2020,4.json,3757,2249901
jharkhand,2020,4.json,3659,2857024
himachal-pradesh,2022,3.json,3641,6161692
jammu-&-kashmir,2022,1.json,3584,7244267
goa,2022,2.json,3524,5093510
assam,2021,2.json,3265,3008122
assam,2021,1.json,3167,2334419
goa,2022,3.json,3157,4142108
jammu-&-kashmir,2021,4.json,3113,5223317
odisha,2020,2.json,2981,615193
puducherry,2024,4.json,2838,3896033
himachal-pradesh,2022,2.json,2831,5371078
bihar,2020,2.json,2816,595621
tripura,2024,4.json,2794,3765732
himachal-pradesh,2022,1.json,2768,5234739
uttarakhand,2021,2.json,2742,3265717
puducherry,2024,1.json,2702,3793554
tripura,2024,1.json,2637,3417568
goa,2022,1.json,2634,3865245
uttarakhand,2021,1.json,2607,2719327
puducherry,2024,3.json,2600,3968523
tripura,2024,3.json,2516,3323343
punjab,2020,3.json,2488,684753
himachal-pradesh,2021,4.json,2474,4667661
punjab,2020,4.json,2451,1884291
puducherry,2023,4.json,2447,3419395
assam,2020,4.json,2413,1806801
puducherry,2022,4.json,2331,2693130
puducherry,2024,2.json,2304,3322997
tripura,2023,4.json,2237,3169741
puducherry,2023,3.json,2232,2891647
assam,2020,3.json,2206,599450
tripura,2024,2.json,2188,2869489
chandigarh,2024,4.json,2095,3729932
goa,2021,4.json,2087,2737316
tripura,2023,3.json,2071,2899393
jharkhand,2020,2.json,2063,405031
punjab,2020,2.json,2036,399452
chandigarh,2024,3.json,1991,3445738
puducherry,2023,1.json,1955,2593091
chandigarh,2023,3.json,1883,2660630
puducherry,2023,2.json,1809,2614006
chandigarh,2024,2.json,1798,3177315
chandigarh,2023,4.json,1767,3053934
himachal-pradesh,2021,3.json,1759,2444545
uttarakhand,2020,4.json,1756,1961891
chandigarh,2024,1.json,1730,3143984
chandigarh,2023,2.json,1704,2501107
tripura,2023,1.json,1642,2404958
tripura,2022,3.json,1590,2105984
kerala,2020,2.json,1588,360216
puducherry,2022,3.json,1585,2025529
tripura,2023,2.json,1563,2163813
chandigarh,2022,3.json,1533,1998439
chandigarh,2023,1.json,1520,2415574
tripura,2022,4.json,1508,2112534
dadra-&-nagar-haveli-&-daman-&-diu,2024,4.json,1503,2292529
jammu-&-kashmir,2021,3.json,1452,2139133
chandigarh,2022,4.json,1403,2024528
uttarakhand,2020,3.json,1403,418543
andaman-&-nicobar-islands,2024,1.json,1371,1964556
chhattisgarh,2020,2.json,1346,279005
chandigarh,2022,2.json,1330,1874959
meghalaya,2024,4.json,1313,2493656
dadra-&-nagar-haveli-&-daman-&-diu,2024,1.json,1295,1908509
andaman-&-nicobar-islands,2024,4.json,1293,2026380
meghalaya,2024,2.json,1235,2318007
goa,2021,3.json,1214,1385986
himachal-pradesh,2021,2.json,1210,1402338
dadra-&-nagar-haveli-&-daman-&-diu,2023,4.json,1207,1973867
puducherry,2022,1.json,1199,1663404
jammu-&-kashmir,2021,2.json,1197,1832089
andaman-&-nicobar-islands,2024,3.json,1191,1752800
puducherry,2022,2.json,1156,1597786
arunachal-pradesh,2024,2.json,1147,2353015
andaman-&-nicobar-islands,2023,4.json,1145,1757821
meghalaya,2024,3.json,1140,2443878
jammu-&-kashmir,2021,1.json,1105,1546288
arunachal-pradesh,2024,1.json,1100,2419700
andaman-&-nicobar-islands,2024,2.json,1097,1744694
himachal-pradesh,2021,1.json,1064,906492
dadra-&-nagar-haveli-&-daman-&-diu,2024,3.json,1052,1602869
meghalaya,2024,1.json,1030,1987107
tripura,2022,2.json,1021,1509105
goa,2021,2.json,1016,1028339
dadra-&-nagar-haveli-&-daman-&-diu,2024,2.json,1008,1367259
andaman-&-nicobar-islands,2023,1.json,1004,1439198
arunachal-pradesh,2024,4.json,999,2359472
assam,2020,2.json,978,210034
dadra-&-nagar-haveli-&-daman-&-diu,2023,3.json,969,1333103
tripura,2022,1.json,907,1493401
andaman-&-nicobar-islands,2022,4.json,901,1441210
goa,2021,1.json,879,827384
dadra-&-nagar-haveli-&-daman-&-diu,2022,4.json,871,1272628
arunachal-pradesh,2024,3.json,842,1951385
arunachal-pradesh,2023,4.json,809,2105408
meghalaya,2023,3.json,809,1728076
meghalaya,2023,4.json,806,1843364
dadra-&-nagar-haveli-&-daman-&-diu,2023,1.json,799,1215168
andaman-&-nicobar-islands,2023,3.json,795,1251145
chandigarh,2022,1.json,792,1150932
puducherry,2021,4.json,786,946607
andaman-&-nicobar-islands,2022,1.json,768,1131287
andaman-&-nicobar-islands,2023,2.json,768,1233395
andaman-&-nicobar-islands,2021,4.json,757,1056380
meghalaya,2023,2.json,730,1551577
arunachal-pradesh,2023,3.json,718,1904786
chandigarh,2021,4.json,710,835813
himachal-pradesh,2020,4.json,710,630966
dadra-&-nagar-haveli-&-daman-&-diu,2022,3.json,707,983776
tripura,2021,4.json,702,1022508
arunachal-pradesh,2023,2.json,696,2095988
dadra-&-nagar-haveli-&-daman-&-diu,2023,2.json,694,1058753
sikkim,2024,2.json,685,1590554
goa,2020,3.json,683,196864
uttarakhand,2020,2.json,660,134899
dadra-&-nagar-haveli-&-daman-&-diu,2020,2.json,651,101029
jammu-&-kashmir,2020,4.json,647,734861
andaman-&-nicobar-islands,2022,3.json,643,902466
meghalaya,2022,4.json,627,1189529
goa,2020,4.json,614,682364
arunachal-pradesh,2022,4.json,613,1464572
arunachal-pradesh,2023,1.json,606,1747475
meghalaya,2022,3.json,600,1039491
sikkim,2024,4.json,599,1381680
nagaland,2024,4.json,568,1168417
arunachal-pradesh,2022,2.json,564,1360231
meghalaya,2023,1.json,562,1187523
puducherry,2021,3.json,561,556442
himachal-pradesh,2020,3.json,531,165559
nagaland,2024,1.json,526,925684
puducherry,2021,2.json,526,508277
arunachal-pradesh,2022,3.json,510,1300304
andaman-&-nicobar-islands,2022,2.json,501,779740
chandigarh,2021,3.json,494,469634
tripura,2021,3.json,494,649961
dadra-&-nagar-haveli-&-daman-&-diu,2022,1.json,493,720741
mizoram,2024,4.json,489,811687
dadra-&-nagar-haveli-&-daman-&-diu,2021,1.json,467,285691
sikkim,2024,3.json,461,1029398
ladakh,2024,3.json,446,978637
jammu-&-kashmir,2020,3.json,441,133339
dadra-&-nagar-haveli-&-daman-&-diu,2022,2.json,438,686857
ladakh,2024,4.json,429,970334
dadra-&-nagar-haveli-&-daman-&-diu,2021,4.json,421,425384
nagaland,2024,2.json,418,685292
ladakh,2024,2.json,415,964349
mizoram,2021,1.json,415,302841
nagaland,2024,3.json,410,820539
manipur,2024,4.json,405,826159
sikkim,2024,1.json,400,880182
himachal-pradesh,2020,2.json,392,77936
manipur,2024,1.json,385,685052
tripura,2021,2.json,381,409934
meghalaya,2022,2.json,379,789094
