state_name,year,quarter_file,total_transactions,previous_quarter_transactions
haryana,2023,2.json,457536190,381318464
haryana,2023,3.json,501519478,457536190
haryana,2023,4.json,554748233,501519478
haryana,2024,1.json,604293500,554748233
haryana,2024,2.json,738553925,604293500
haryana,2024,3.json,794940220,738553925
haryana,2024,4.json,841394290,794940220
himachal-pradesh,2018,1.json,481918,NULL
himachal-pradesh,2018,2.json,687695,481918
himachal-pradesh,2018,3.json,886754,687695
himachal-pradesh,2018,4.json,1307883,886754
himachal-pradesh,2019,1.json,2168718,1307883
himachal-pradesh,2019,2.json,2502306,2168718
himachal-pradesh,2019,3.json,2735180,2502306
himachal-pradesh,2019,4.json,3516646,2735180
himachal-pradesh,2020,1.json,4144480,3516646
himachal-pradesh,2020,2.json,4695730,4144480
himachal-pradesh,2020,3.json,5489876,4695730
himachal-pradesh,2020,4.json,7272328,5489876
himachal-pradesh,2021,1.json,7614029,7272328
himachal-pradesh,2021,2.json,9483902,7614029
himachal-pradesh,2021,3.json,12064167,9483902
himachal-pradesh,2021,4.json,14666864,12064167
himachal-pradesh,2022,1.json,16088180,14666864
himachal-pradesh,2022,2.json,21291371,16088180
himachal-pradesh,2022,3.json,25164868,21291371
himachal-pradesh,2022,4.json,28555136,25164868
himachal-pradesh,2023,1.json,27301726,28555136
himachal-pradesh,2023,2.json,35061595,27301726
himachal-pradesh,2023,3.json,33337054,35061595
himachal-pradesh,2023,4.json,38651839,33337054
himachal-pradesh,2024,1.json,39520561,38651839
himachal-pradesh,2024,2.json,52583801,39520561
himachal-pradesh,2024,3.json,49737549,52583801
himachal-pradesh,2024,4.json,53798398,49737549
jammu-&-kashmir,2018,1.json,941568,NULL
jammu-&-kashmir,2018,2.json,1796326,941568
jammu-&-kashmir,2018,3.json,2303961,1796326
jammu-&-kashmir,2018,4.json,2721310,2303961
jammu-&-kashmir,2019,1.json,3584987,2721310
jammu-&-kashmir,2019,2.json,2296355,3584987
jammu-&-kashmir,2019,3.json,1116526,2296355
jammu-&-kashmir,2019,4.json,489928,1116526
jammu-&-kashmir,2020,1.json,921630,489928
jammu-&-kashmir,2020,2.json,2635006,921630
jammu-&-kashmir,2020,3.json,3465898,2635006
jammu-&-kashmir,2020,4.json,5754444,3465898
jammu-&-kashmir,2021,1.json,6997570,5754444
jammu-&-kashmir,2021,2.json,10027819,6997570
jammu-&-kashmir,2021,3.json,13151041,10027819
jammu-&-kashmir,2021,4.json,16790628,13151041
jammu-&-kashmir,2022,1.json,16245311,16790628
jammu-&-kashmir,2022,2.json,23813747,16245311
jammu-&-kashmir,2022,3.json,22534394,23813747
jammu-&-kashmir,2022,4.json,27316158,22534394
jammu-&-kashmir,2023,1.json,38927244,27316158
jammu-&-kashmir,2023,2.json,54588299,38927244
jammu-&-kashmir,2023,3.json,63903579,54588299
jammu-&-kashmir,2023,4.json,69167132,63903579
jammu-&-kashmir,2024,1.json,75116355,69167132
jammu-&-kashmir,2024,2.json,108179014,75116355
jammu-&-kashmir,2024,3.json,119555288,108179014
jammu-&-kashmir,2024,4.json,126261217,119555288
jharkhand,2018,1.json,2178921,NULL
jharkhand,2018,2.json,3152080,2178921
jharkhand,2018,3.json,8122621,3152080
jharkhand,2018,4.json,6284043,8122621
jharkhand,2019,1.json,9387708,6284043
jharkhand,2019,2.json,10128211,9387708
jharkhand,2019,3.json,14220647,10128211
jharkhand,2019,4.json,18248618,14220647
jharkhand,2020,1.json,18282713,18248618
jharkhand,2020,2.json,20141511,18282713
jharkhand,2020,3.json,27068473,20141511
jharkhand,2020,4.json,39431633,27068473
jharkhand,2021,1.json,44621663,39431633
jharkhand,2021,2.json,54002145,44621663
jharkhand,2021,3.json,70795702,54002145
jharkhand,2021,4.json,96009042,70795702
jharkhand,2022,1.json,110911210,96009042
jharkhand,2022,2.json,132925275,110911210
jharkhand,2022,3.json,146815332,132925275
jharkhand,2022,4.json,175300092,146815332
jharkhand,2023,1.json,240458103,175300092
jharkhand,2023,2.json,289233893,240458103
jharkhand,2023,3.json,318237426,289233893
jharkhand,2023,4.json,374538362,318237426
jharkhand,2024,1.json,426759095,374538362
jharkhand,2024,2.json,499685871,426759095
jharkhand,2024,3.json,522575883,499685871
jharkhand,2024,4.json,586904686,522575883
karnataka,2018,1.json,12016899,NULL
karnataka,2018,2.json,17116447,12016899
karnataka,2018,3.json,25980261,17116447
karnataka,2018,4.json,44812071,25980261
karnataka,2019,1.json,86587609,44812071
karnataka,2019,2.json,115401604,86587609
karnataka,2019,3.json,170733735,115401604
karnataka,2019,4.json,237796252,170733735
karnataka,2020,1.json,271033890,237796252
karnataka,2020,2.json,213221712,271033890
karnataka,2020,3.json,300360531,213221712
karnataka,2020,4.json,431536984,300360531
karnataka,2021,1.json,523797492,431536984
karnataka,2021,2.json,530649046,523797492
karnataka,2021,3.json,753296539,530649046
karnataka,2021,4.json,931725438,753296539
karnataka,2022,1.json,1057855407,931725438
karnataka,2022,2.json,1277448960,1057855407
karnataka,2022,3.json,1189761328,1277448960
karnataka,2022,4.json,1378910371,1189761328
karnataka,2023,1.json,1844697189,1378910371
karnataka,2023,2.json,2067867526,1844697189
karnataka,2023,3.json,2369262302,2067867526
karnataka,2023,4.json,2564434164,2369262302
karnataka,2024,1.json,2796439155,2564434164
karnataka,2024,2.json,3042012848,2796439155
karnataka,2024,3.json,3261134095,3042012848
karnataka,2024,4.json,3455056424,3261134095
kerala,2018,1.json,1771380,NULL
kerala,2018,2.json,2308165,1771380
kerala,2018,3.json,3134348,2308165
kerala,2018,4.json,4310654,3134348
kerala,2019,1.json,6469039,4310654
kerala,2019,2.json,7283826,6469039
kerala,2019,3.json,9286096,7283826
kerala,2019,4.json,12498637,9286096
kerala,2020,1.json,15733522,12498637
kerala,2020,2.json,16287967,15733522
kerala,2020,3.json,21758680,16287967
kerala,2020,4.json,33288187,21758680
kerala,2021,1.json,42316342,33288187
kerala,2021,2.json,47191033,42316342
kerala,2021,3.json,63028266,47191033
kerala,2021,4.json,81823741,63028266
kerala,2022,1.json,95280965,81823741
kerala,2022,2.json,106365322,95280965
kerala,2022,3.json,119362904,106365322
kerala,2022,4.json,132960468,119362904
kerala,2023,1.json,147621565,132960468
kerala,2023,2.json,156170617,147621565
kerala,2023,3.json,170658651,156170617
kerala,2023,4.json,179843093,170658651
kerala,2024,1.json,181463966,179843093
kerala,2024,2.json,194872467,181463966
kerala,2024,3.json,214695458,194872467
kerala,2024,4.json,233112441,214695458
ladakh,2018,1.json,6089,NULL
ladakh,2018,2.json,15010,6089
ladakh,2018,3.json,24864,15010
ladakh,2018,4.json,35211,24864
ladakh,2019,1.json,46145,35211
ladakh,2019,2.json,68772,46145
ladakh,2019,3.json,92396,68772
ladakh,2019,4.json,84706,92396
ladakh,2020,1.json,116419,84706
ladakh,2020,2.json,155010,116419
ladakh,2020,3.json,228222,155010
ladakh,2020,4.json,332134,228222
ladakh,2021,1.json,275415,332134
ladakh,2021,2.json,399716,275415
ladakh,2021,3.json,590987,399716
ladakh,2021,4.json,630187,590987
ladakh,2022,1.json,630015,630187
ladakh,2022,2.json,1118073,630015
ladakh,2022,3.json,1190858,1118073
ladakh,2022,4.json,1083372,1190858
ladakh,2023,1.json,1567246,1083372
ladakh,2023,2.json,2943815,1567246
ladakh,2023,3.json,3621366,2943815
ladakh,2023,4.json,3150218,3621366
ladakh,2024,1.json,2987101,3150218
ladakh,2024,2.json,5327359,2987101
ladakh,2024,3.json,6913885,5327359
ladakh,2024,4.json,5711284,6913885
lakshadweep,2018,1.json,778,NULL
lakshadweep,2018,2.json,2132,778
lakshadweep,2018,3.json,1703,2132
lakshadweep,2018,4.json,1642,1703
lakshadweep,2019,1.json,2481,1642
lakshadweep,2019,2.json,2926,2481
lakshadweep,2019,3.json,3104,2926
lakshadweep,2019,4.json,3765,3104
lakshadweep,2020,1.json,5151,3765
lakshadweep,2020,2.json,7220,5151
lakshadweep,2020,3.json,8589,7220
lakshadweep,2020,4.json,11650,8589
lakshadweep,2021,1.json,9085,11650
lakshadweep,2021,2.json,11384,9085
lakshadweep,2021,3.json,13370,11384
lakshadweep,2021,4.json,15470,13370
lakshadweep,2022,1.json,16397,15470
lakshadweep,2022,2.json,17569,16397
lakshadweep,2022,3.json,15241,17569
lakshadweep,2022,4.json,17147,15241
lakshadweep,2023,1.json,29520,17147
lakshadweep,2023,2.json,34918,29520
lakshadweep,2023,3.json,43757,34918
