state_name,year,quarter_file,payment_type,total_transactions,total_amount
dadra-&-nagar-haveli-&-daman-&-diu,2019,1.json,TOTAL,661814,843369776.0378999
dadra-&-nagar-haveli-&-daman-&-diu,2019,2.json,TOTAL,489656,824441276.5521998
dadra-&-nagar-haveli-&-daman-&-diu,2019,3.json,TOTAL,638751,961471473.9114
dadra-&-nagar-haveli-&-daman-&-diu,2019,4.json,TOTAL,768971,1226641262.5146003
dadra-&-nagar-haveli-&-daman-&-diu,2020,1.json,TOTAL,878579,1342763369.7900999
dadra-&-nagar-haveli-&-daman-&-diu,2020,2.json,TOTAL,973152,1302376453.4942
dadra-&-nagar-haveli-&-daman-&-diu,2020,3.json,TOTAL,1138312,1749789114.7900002
dadra-&-nagar-haveli-&-daman-&-diu,2020,4.json,TOTAL,1817791,2700511101.2970004
dadra-&-nagar-haveli-&-daman-&-diu,2021,1.json,TOTAL,1925244,2965632910.958
dadra-&-nagar-haveli-&-daman-&-diu,2021,2.json,TOTAL,2125083,3157668460.949
dadra-&-nagar-haveli-&-daman-&-diu,2021,3.json,TOTAL,3129470,4305939102.714
dadra-&-nagar-haveli-&-daman-&-diu,2021,4.json,TOTAL,4157085,5565839386.487
dadra-&-nagar-haveli-&-daman-&-diu,2022,1.json,TOTAL,4802803,6237048368.000001
dadra-&-nagar-haveli-&-daman-&-diu,2022,2.json,TOTAL,5759771,6995159780.841999
dadra-&-nagar-haveli-&-daman-&-diu,2022,3.json,TOTAL,6465621,7520647359.903
dadra-&-nagar-haveli-&-daman-&-diu,2022,4.json,TOTAL,7189585,8059640745.469
dadra-&-nagar-haveli-&-daman-&-diu,2023,1.json,TOTAL,11803985,12614091200
dadra-&-nagar-haveli-&-daman-&-diu,2023,2.json,TOTAL,13357115,13750538188
dadra-&-nagar-haveli-&-daman-&-diu,2023,3.json,TOTAL,15370328,15096066463
dadra-&-nagar-haveli-&-daman-&-diu,2023,4.json,TOTAL,18302373,17558059967
dadra-&-nagar-haveli-&-daman-&-diu,2024,1.json,TOTAL,21115009,19519196325
dadra-&-nagar-haveli-&-daman-&-diu,2024,2.json,TOTAL,23393115,20328992711
dadra-&-nagar-haveli-&-daman-&-diu,2024,3.json,TOTAL,25446270,21564631566
dadra-&-nagar-haveli-&-daman-&-diu,2024,4.json,TOTAL,28463700,23945221461
delhi,2018,1.json,TOTAL,7122754,11211503807.27
delhi,2018,2.json,TOTAL,9373723,17446299902.300003
delhi,2018,3.json,TOTAL,18547048,27375846861.55
delhi,2018,4.json,TOTAL,29187719,39722857619.44
delhi,2019,1.json,TOTAL,47007327,58469131789.399994
delhi,2019,2.json,TOTAL,57171512,81706816063.07999
delhi,2019,3.json,TOTAL,69537876,103196812045.99
delhi,2019,4.json,TOTAL,80744997,129024943272.47
delhi,2020,1.json,TOTAL,81747604,133616943636.25
delhi,2020,2.json,TOTAL,66042018,107873438203.36
delhi,2020,3.json,TOTAL,96491861,175163939256.09998
delhi,2020,4.json,TOTAL,120540417,216265032233.09998
delhi,2021,1.json,TOTAL,157359004,266928793302.3
delhi,2021,2.json,TOTAL,170157264,281941142156.8
delhi,2021,3.json,TOTAL,238760608,383858783942.3
delhi,2021,4.json,TOTAL,292683359,488695341727.9
delhi,2022,1.json,TOTAL,330999861,536964875147.5
delhi,2022,2.json,TOTAL,410634184,629856048834.5
delhi,2022,3.json,TOTAL,475592161,677613271511.2001
delhi,2022,4.json,TOTAL,515203457,744914805361.4
delhi,2023,1.json,TOTAL,409753103,611402720698
delhi,2023,2.json,TOTAL,482138998,661728558948
delhi,2023,3.json,TOTAL,546706983,708199439855
delhi,2023,4.json,TOTAL,598150746,799649065941
delhi,2024,1.json,TOTAL,650734058,832513813854
delhi,2024,2.json,TOTAL,777540400,896917378622
delhi,2024,3.json,TOTAL,844844523,958203334168
delhi,2024,4.json,TOTAL,910543082,1057059882035
goa,2018,1.json,TOTAL,160897,303856742.3744
goa,2018,2.json,TOTAL,229575,478603825.3383
goa,2018,3.json,TOTAL,339511,713166969.2057999
